,Vodka,Light Rum,Tequila,Whiskey,Gin,Triple Sec,Peach Schnapps,Coconut Rum,Blue Curacao,Coke,7-Up/Sprite,Sweet & Sour Mix,Orange Juice,Pineapple Juice,Grapefruit Juice,Cranberry Juice,Lime Juice,Grenadine,Ginger Beer,Club Soda,Tonic Water
Whiskey Coke,,,,2,,,,,,6,,,,,,,,,,,
Whiskey Sour,,,,1.5,,,,,,,,4,,,,,,,,,
Rum & Coke,,X,,,,,,,,X,,,,,,,,,,,
Sex on the Beach,X,,,,,,X,,,,,,X,,,X,,,,,
Screwdriver,X,,,,,,,,,,,,X,,,,,,,,
Cape Cod,X,,,,,,,,,,,,,,,X,,,,,
Sea Breeze,X,,,,,,,,,,,,,,X,X,,,,,
Bay Breeze,X,,,,,,,,,,,,,X,,X,,,,,
Greyhound,X,,,,,,,,,,,,,,X,,,,,,
Tequila Sunrise,,,X,,,,,,,,,,X,,,,,X,,,
Tequila Screwdriver,,,X,,,,,,,,,,X,,,,,,,,
Margarita,,,X,,,X,,,,,,?,,,,,X,,,,
Blue Marg,,,X,,,,,,X,,,?,,,,,X,,,,
Peach Marg,,,X,,,,X,,,,,X,,,,,,?,,,
Gin & Tonic,,,,,X,,,,,,,,,,,,,,,,X
Tom Collins,,,,,X,,,,,,,X,,,,,,,,X,
John Collins,X,,,,,,,,,,,X,,,,,,,,X,
Long Island Iced Tea,X,X,X,,X,X,,,,X,,X,,,,,,,,,
Long Beach Iced Tea,X,X,X,,X,X,,,,,,X,,,,X,,,,,
Tennessee Tea,X,,,X,,X,,,,X,,X,,,,,,,,,
Texas Tea,X,X,X,X,X,X,,,,X,,X,,,,,,,,,
Adios Motherfucker,X,X,X,,X,,,,X,,X,X,,,,,,,,,
Georgia Peach,X,,,,,,X,,,,,X,,,,,,X,,,
Sexy Lemonade,X,,,,,X,,,,,X,X,,,,,,X,,,
California Lemonade,,,,X,,,,,,,,X,,,,,X,X,,X,
Motherhubbard,X,,,X,,X,X,,,,,,X,X,,,,,,,
Kamikaze,X,,,,,X,,,,,,,,,,,X,,,,
Tropical Bay Breeze,X,,,,,,,X,,,,,,X,,X,,,,,
Caribbean Pineapple,,,,,,,,X,,,,,,X,,,,,,,
Ruby Relaxer,X,,,,,,X,X,,,,,,X,,X,,,,,
Caribbean Cruise,X,X,,,,,,X,,,,,,X,,,,X,,,
Key West Screwdriver,X,,,,,,,,,,,,X,,,,X,,,,
Moscow Mule,X,,,,,,,,,,,,,,,,X,,X,,
Kentucky Mule,,,,X,,,,,,,,,,,,,X,,X,,
Caribbean Mule,,X,,,,,,,,,,,,,,,X,,X,,
Jalisco Mule,,,X,,,,,,,,,,,,,,X,,X,,
